city,lat,lng,country
Delhi,28.61,77.23,India
Mumbai,19.0761,72.8775,India
Kolkata,22.5675,88.37,India
Bangalore,12.9789,77.5917,India
Chennai,13.0825,80.275,India
Hyderabad,17.385,78.4867,India
Pune,18.5203,73.8567,India
Ahmedabad,23.03,72.58,India
Surat,21.1702,72.8311,India
Prayagraj,25.4358,81.8464,India
Lucknow,26.85,80.95,India
Jaipur,26.9,75.8,India
Cawnpore,26.4499,80.3319,India
Mirzapur,25.146,82.569,India
Nagpur,21.1497,79.0806,India
Ghaziabad,28.67,77.42,India
Vadodara,22.3,73.2,India
Vishakhapatnam,17.7042,83.2978,India
Indore,22.7167,75.8472,India
Thane,19.1972,72.9722,India
Bhopal,23.25,77.4167,India
Chinchvad,18.6186,73.8037,India
Patna,25.6,85.1,India
Bilaspur,22.09,82.15,India
Ludhiana,30.91,75.85,India
Agra,27.18,78.02,India
Agwar,27.18,78.02,India
Madurai,9.9252,78.1198,India
Jamshedpur,22.7925,86.1842,India
Nasik,20,73.78,India
Faridabad,28.4167,77.3,India
Aurangabad,19.88,75.32,India
Rajkot,22.3,70.7833,India
Meerut,28.98,77.71,India
Jabalpur,23.1667,79.9333,India
Kalamboli,19.2333,73.1333,India
Vasai,19.47,72.8,India
Najafgarh,28.6092,76.9798,India
Varanasi,25.3189,83.0128,India
Srinagar,34.09,74.79,India
Dhanbad,23.7998,86.4305,India
Amritsar,31.64,74.86,India
Aligarh,27.88,78.08,India
Guwahati,26.1722,91.7458,India
Haora,22.58,88.3294,India
Ranchi,23.36,85.33,India
Gwalior,26.2215,78.178,India
Vijayawada,16.5193,80.6305,India
Chandigarh,30.75,76.78,India
Jodhpur,26.28,73.02,India
Raipur,21.25,81.63,India
Kota,25.18,75.83,India
New Delhi,28.6139,77.209,India
Bareilly,28.364,79.415,India
Coimbatore,11.0168,76.9558,India
Solapur,17.68,75.92,India
Trichinopoly,10.7903,78.7047,India
Moradabad,28.8389,78.7769,India
Tiruppur,11.1085,77.3411,India
Gurgaon,28.456,77.029,India
Jalandhar,31.2569,75.4432,India
Kalkaji Devi,28.5485,77.2513,India
Bhubaneshwar,20.27,85.84,India
Bhayandar,19.29,72.85,India
Mandvi,19.3,72.85,India
Patiala,30.34,76.38,India
Dhulia,20.8997,74.7697,India
Thiruvananthapuram,8.4875,76.9525,India
Bhiwandi,19.2967,73.0631,India
Saharanpur,29.964,77.546,India
Warangal,17.9689,79.5941,India
Shiliguri,26.71,88.43,India
Salem,11.65,78.15,India
Vellore,12.9165,79.1325,India
Kochi,9.97,76.28,India
Gorakhpur,26.7637,83.4039,India
Narela,28.8527,77.0929,India
Guntur,16.3008,80.4428,India
Rasulpur,28.57,77.32,India
Bhavnagar,21.76,72.15,India
Brahmapur,19.315,84.7941,India
Noida,28.57,77.32,India
Bhangar,22.58,88.42,India
Bhilai,21.3667,81.7167,India
Mangalore,12.902,74.8253,India
Bhilai,21.21,81.38,India
Nagercoil,8.1833,77.4119,India
Raurkela,22.2492,84.8828,India
Cuttack,20.5236,85.7881,India
Tumkur,13.34,77.1,India
Durgapur,23.55,87.32,India
Dehra Dun,30.345,78.029,India
Chapra,25.7848,84.7274,India
Asansol,23.68,86.99,India
Kolhapur,16.6917,74.2333,India
Nellore,14.45,79.99,India
Nanded,19.15,77.3,India
Ajmer,26.4499,74.6399,India
Amravati,20.9258,77.7647,India
Gulbarga,17.329,76.825,India
Bikaner,28.0167,73.3119,India
Agartala,23.8333,91.2833,India
Loni,28.75,77.28,India
Ujjain,23.17,75.79,India
Ulhasnagar,19.22,73.15,India
Bhilwara,25.35,74.63,India
Jhansi,25.4486,78.5696,India
Jammu,32.73,74.87,India
Purnea,25.778,87.476,India
Tinnevelly,8.7136,77.7567,India
Belgaum,15.85,74.5,India
Jamnagar,22.47,70.07,India
Gaya,24.75,85.01,India
Ambattur,13.1143,80.1548,India
Salt Lake City,22.61,88.4,India
Jalgaon,21.004,75.568,India
Kurnool,15.83,78.05,India
Udaipur,24.58,73.68,India
Mathura,27.4925,77.6736,India
Sangli,16.8667,74.5667,India
Davangere,14.4666,75.9242,India
Calicut,11.25,75.77,India
Akola,20.7,77,India
Bettiah,26.8014,84.5028,India
Delhi Cantonment,28.6,77.1333,India
Shorapur,16.52,76.76,India
Bhagalpur,25.25,87,India
Bellary,15.1,76.9167,India
Padiala,30.5667,76.6333,India
Quilon,8.88,76.6,India
Kukatpalli,17.4849,78.4138,India
Bhatpara,22.87,88.41,India
Hazaribagh,23.98,85.35,India
Kakinada,16.9661,82.255,India
Darbhanga,26.17,85.9,India
Sirur,18.83,74.38,India
Sardarshahr,28.4401,74.4908,India
Panihati,22.69,88.37,India
Rohtak,28.8909,76.5796,India
Maler Kotla,30.5167,75.8833,India
Korba,22.35,82.68,India
Dasarhalli,13.0465,77.513,India
Sikar,27.62,75.15,India
Sasaram,24.95,84.03,India
Karur,10.9601,78.0766,India
Karnal,29.686,76.989,India
Chanda,19.95,79.297,India
Ahmadnagar,19.08,74.73,India
Avadi,13.1097,80.0972,India
Rajahmundry,16.98,81.78,India
Shahjanpur,27.88,79.91,India
Hosur,12.7409,77.8253,India
Cuddapah,14.47,78.82,India
Muzaffarpur,26.1225,85.3906,India
Alwar,27.5498,76.6355,India
Sambalpur,21.47,83.97,India
Kamarhati,22.6686,88.3704,India
Rampur,28.8,79,India
Bijapur,16.83,75.71,India
Tharad,24.3926,71.6248,India
Ratnagiri,16.9944,73.3,India
Shimoga,13.9333,75.5667,India
Junagadh,21.52,70.463,India
Hapur,28.7309,77.7757,India
Trichur,10.52,76.21,India
Barddhaman,23.2333,87.8667,India
Panvel,18.9944,73.1139,India
Nizamabad,18.672,78.094,India
Oulgaret,11.957,79.7737,India
Parbhani,19.27,76.78,India
Hisar,29.15,75.7,India
Maldah,25.0119,88.1433,India
Bada Barabil,22.12,85.4,India
Bihar,25.197,85.518,India
Sikandarabad,28.4512,77.6955,India
Bali,22.65,88.34,India
Panipat,29.3875,76.97,India
Aizawl,23.7272,92.7178,India
Sonpur,25.7,85.18,India
Karimnagar,18.4386,79.1288,India
Sonipat,28.99,77.022,India
Dewas,22.96,76.06,India
Ichalkaranji,16.7,74.47,India
Bhatinda,30.23,74.9519,India
Jalna,19.841,75.8864,India
Sannai,24.5984,80.8281,India
Satna,24.6005,80.8322,India
Mau,25.9417,83.5611,India
Barasat,22.72,88.48,India
Farrukhabad,27.39,79.581,India
Saugor,23.83,78.71,India
Ratlam,23.334,75.037,India
Drug,21.19,81.28,India
